,Nearest City Names,Countries,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
31,San Quintin,MX,-124.66,23.64,67.72,100,9.75,92
32,Ushuaia,AR,-65.88,-65.87,10.48,97,11.88,36
33,Chokurdakh,RU,145.77,72.87,30.46,97,11.43,0
34,Saint-Francois,GP,-48.86,21.68,76.81,100,13.22,44
35,Puro,PH,118.0,18.26,80.23,100,12.66,88
36,Bredasdorp,ZA,25.76,-89.11,-47.31,0,3.94,36
37,Matera,IT,16.65,40.73,79.38,69,4.7,0
38,Manadhoo,MV,75.48,5.39,79.6,100,18.03,36
39,Rikitea,PF,-115.17,-15.78,74.02,100,19.48,92
40,Kapaa,US,-170.96,26.89,76.45,100,3.71,88
41,Cape Town,ZA,14.73,-37.67,59.08,100,40.18,24
42,Port Elizabeth,ZA,38.89,-89.29,-46.41,0,3.6,36
43,Kruisfontein,ZA,27.42,-62.79,18.85,100,5.95,0
44,Rikitea,PF,-112.4,-34.12,60.07,100,6.17,76
45,Torbay,CA,-46.86,38.82,71.14,92,18.7,80
46,Rikitea,PF,-123.73,-22.65,74.74,100,16.91,32
47,Luderitz,NA,4.84,-31.45,64.57,99,11.21,92
48,Ushuaia,AR,-32.05,-76.88,-0.51,98,2.71,64
49,Yellowknife,CA,-100.13,80.7,32.17,100,9.64,88
50,Ostrovnoy,RU,40.04,70.4,41.35,100,3.38,88
51,Ribeira Grande,PT,-40.68,37.75,72.49,98,14.45,88
52,Bluff,NZ,173.72,-82.46,-0.42,65,26.42,0
53,Hermanus,ZA,-1.67,-72.98,-40.56,68,13.33,0
54,Puerto Ayora,EC,-101.26,-14.9,70.06,100,7.63,0
55,Nimbahera,IN,74.61,24.57,77.71,74,8.97,56
56,Miri,MY,110.98,6.77,84.55,100,5.39,0
57,Port Alfred,ZA,43.24,-73.09,-41.82,64,21.5,20
58,Casma,PE,-78.29,-9.27,67.9,30,1.7,0
59,Puerto Ayora,EC,-103.89,0.8,75.91,100,15.68,12
60,Namibe,AO,5.99,-12.18,72.4,100,16.46,0
61,Rikitea,PF,-116.28,-29.1,67.27,100,11.99,92
62,Tamasane,BW,27.31,-22.4,62.6,67,7.74,0
63,Barrow,US,-154.84,82.41,31.63,100,11.1,88
64,Mount Gambier,AU,130.26,-54.83,37.57,100,36.04,32
65,Salem,US,-80.19,37.3,79.65,73,5.82,75
66,Kondinskoye,RU,68.02,60.0,55.3,80,10.76,20
67,Yerbogachen,RU,107.36,64.6,68.08,44,6.4,76
68,Labuhan,ID,96.05,-18.5,75.55,98,20.04,92
69,Avera,PF,-153.54,-20.89,77.17,100,8.52,88
70,Mataura,PF,-153.52,-83.47,-8.79,64,15.35,0
71,Albany,AU,114.56,-79.17,-53.97,0,19.6,24
72,Attawapiskat,CA,-83.69,55.32,58.99,74,11.88,56
73,Bethel,US,-164.43,53.5,46.84,100,16.69,44
74,Dikson,RU,81.56,72.47,44.95,87,17.69,0
75,Charters Towers,AU,143.26,-19.62,54.85,73,14.67,0
76,Butaritari,KI,172.86,25.87,78.7,100,15.57,92
77,Noyabrsk,RU,75.72,62.2,59.08,93,9.42,56
78,Bredasdorp,ZA,14.38,-87.39,-59.46,0,13.56,0
79,Rikitea,PF,-114.64,-47.56,48.28,95,24.63,92
80,Hilo,US,-151.67,24.85,75.37,100,9.08,56
81,Cherskiy,RU,158.01,75.57,32.26,98,6.85,64
82,Cape Town,ZA,-4.06,-62.19,28.48,100,12.77,64
83,Ganta,LR,-8.87,7.12,76.81,89,8.86,92
84,Georgetown,SH,-13.07,-14.4,73.57,100,20.15,20
85,Rafaela,AR,-61.41,-31.59,62.05,47,14.23,0
86,Waingapu,ID,119.05,-12.21,80.5,100,16.58,88
87,San Cristobal,EC,-87.44,-1.33,71.5,100,9.98,44
88,Tual,ID,131.81,-4.83,78.52,100,10.87,88
89,Miandrivazo,MG,44.84,-19.67,63.85,88,3.15,0
90,Mareeba,AU,141.5,-14.01,67.99,92,11.88,0
91,Punta Arenas,CL,-89.61,-78.92,-36.24,54,3.38,0
92,Pringsewu,ID,103.72,-5.89,84.91,98,16.91,56
93,Punta Arenas,CL,-90.98,-57.59,34.78,100,16.24,36
94,Belyy Yar,RU,86.82,58.83,61.78,61,5.73,12
95,Broome,AU,124.02,-19.21,57.55,24,12.88,0
96,Chokurdakh,RU,144.4,82.52,32.26,98,23.51,88
97,Zolotinka,RU,124.84,56.31,50.53,95,8.3,92
98,Punta Arenas,CL,-108.75,-72.83,4.0,89,16.24,88
99,Saskylakh,RU,112.19,85.11,31.99,99,15.46,80
100,Rikitea,PF,-124.66,-32.39,67.45,91,25.3,32
101,Pevek,RU,170.07,84.02,31.99,100,26.08,80
102,Hermanus,ZA,6.78,-79.59,-51.18,0,14.34,24
103,Jamestown,SH,-19.02,-30.34,67.18,97,24.85,20
104,Kihei,US,-156.39,20.66,72.77,78,5.82,20
105,Saurimo,AO,18.8,-9.4,70.51,62,3.27,0
106,Jamestown,SH,-17.32,-39.11,56.2,99,45.88,64
107,Dikson,RU,77.63,73.96,36.67,91,21.05,0
108,Cidreira,BR,-33.28,-45.37,47.56,98,9.86,48
109,Komsomolskiy,RU,173.84,70.84,31.72,100,17.47,0
110,Tateyama,JP,139.89,33.85,76.18,99,22.39,8
111,Padang,ID,96.55,-3.33,85.81,99,7.63,0
112,Kavaratti,IN,65.25,10.61,83.29,98,24.63,80
113,Severo-Yeniseyskiy,RU,93.06,62.71,52.42,100,10.2,80
114,Sept-Iles,CA,-65.58,56.63,33.97,100,13.0,88
115,Mataura,PF,-156.29,-41.42,54.67,100,21.72,80
116,Mataura,PF,-156.75,-89.46,-56.13,0,2.93,12
117,Komsomolskiy,RU,172.39,69.48,40.81,78,2.71,0
118,Rikitea,PF,-117.7,-50.66,45.58,89,26.31,92
119,Lata,SB,167.71,-11.14,80.95,100,19.6,64
120,Hermanus,ZA,6.7,-70.98,-5.01,79,21.27,48
121,Alice Springs,AU,132.61,-23.23,33.7,74,6.62,0
122,Hermanus,ZA,9.5,-87.53,-57.93,0,15.01,0
123,Hobart,AU,145.21,-73.72,-65.4,0,19.04,0
124,Smoky Lake,CA,-112.13,54.98,80.77,39,3.38,68
125,Flinders,AU,130.54,-30.98,42.07,76,4.16,48
126,Mataura,PF,-160.13,-61.85,20.29,100,40.18,20
127,Castro,CL,-84.26,-49.65,40.9,100,19.26,92
128,Pevek,RU,173.54,84.96,32.35,99,20.49,92
129,Atbasar,KZ,69.12,50.51,71.05,38,9.19,56
130,Kimbe,PG,151.44,-6.76,75.1,100,1.92,88
131,Vaitupu,WF,-175.8,-3.79,82.3,100,12.77,92
132,Aripuana,BR,-59.47,-10.55,93.64,33,3.04,0
133,Viedma,AR,-60.7,-42.06,50.08,100,38.61,44
134,New Norfolk,AU,140.85,-51.4,41.71,92,27.42,88
135,Lindi,TZ,39.74,-9.2,80.5,86,12.66,32
136,Hilo,US,-160.23,11.72,78.7,100,6.4,76
137,Ushuaia,AR,-66.97,-67.01,-4.2,62,6.85,24
138,Aklavik,CA,-144.2,80.07,31.9,99,8.75,76
139,Vaini,TO,-173.27,-80.05,-28.14,44,2.93,12
140,Campoverde,PE,-74.52,-9.52,84.01,51,2.71,56
141,Lefka,CY,32.69,34.92,77.0,78,13.87,20
142,Yellowknife,CA,-101.79,87.58,31.45,100,8.19,76
143,Novo Oriente,BR,-40.7,-5.6,85.72,43,8.41,0
144,Atuona,PF,-142.24,5.62,80.77,100,6.4,88
145,Port Elizabeth,ZA,27.39,-42.92,55.93,92,23.29,92
146,Port Alfred,ZA,34.25,-61.19,28.03,100,14.67,80
147,Chengde,CN,117.79,41.32,57.28,81,3.49,20
148,Tasiilaq,GL,-32.08,67.94,33.79,92,7.4,88
149,Vaitupu,WF,-175.04,-9.85,84.1,100,13.0,76
150,Torbay,CA,-47.61,31.56,76.09,100,14.0,64
151,Sept-Iles,CA,-65.47,53.26,43.78,85,12.33,68
152,Samusu,WS,-164.64,-9.67,82.75,100,14.23,80
153,Albany,AU,102.18,-67.25,-10.86,59,27.54,0
154,Acapulco,MX,-106.01,3.86,77.17,100,11.99,80
155,Carnarvon,AU,115.91,-24.84,48.73,36,11.1,0
156,Yenagoa,NG,4.83,1.16,77.17,100,16.69,76
157,Avarua,CK,-164.87,-31.16,67.27,100,18.25,36
158,Sur,OM,58.73,19.38,80.23,94,25.3,0
159,Kruisfontein,ZA,29.84,-81.43,-59.73,0,26.31,0
160,Alice Springs,AU,137.59,-24.96,37.57,75,4.94,0
161,Jamestown,SH,-2.28,-33.4,64.3,97,27.54,48
162,Punta Arenas,CL,-94.41,-59.67,32.98,100,10.65,0
163,Ponta Do Sol,CV,-36.05,21.08,73.3,100,16.8,92
164,Qaanaaq,GL,-76.51,82.23,27.67,95,1.92,64
165,Tonj,SD,28.45,6.91,71.59,92,5.17,0
166,Busselton,AU,82.85,-45.1,46.84,100,26.53,56
167,Punta Arenas,CL,-116.18,-71.61,30.82,96,17.25,92
168,Butaritari,KI,169.02,16.1,81.67,100,11.88,92
169,Hobart,AU,149.65,-80.11,-31.47,41,6.17,36
170,Kailua,US,-157.64,21.69,76.01,74,8.05,75
171,Severo-Kurilsk,RU,162.43,46.46,46.03,90,26.75,92
172,Albany,AU,123.92,-70.26,-36.33,49,17.92,24
173,Banda Aceh,ID,94.55,5.66,84.28,100,7.85,12
174,Rikitea,PF,-140.61,-55.79,34.15,100,32.01,12
175,Busselton,AU,87.71,-50.76,41.89,96,24.74,92
176,Nizhneyansk,RU,138.25,74.04,33.97,92,6.4,56
177,Port Alfred,ZA,37.52,-67.14,-7.17,91,6.06,0
178,Bengkulu,ID,89.79,-23.21,72.13,98,18.25,0
179,Thompson,CA,-93.65,60.16,35.32,94,3.71,0
180,Kudahuvadhoo,MV,72.75,3.01,81.67,100,11.88,44
181,Imelda,PH,123.95,7.73,68.08,100,0.92,64
182,Bredasdorp,ZA,12.21,-89.7,-48.39,0,2.71,44
183,Naze,JP,133.97,26.54,82.12,96,17.92,8
184,Port Alfred,ZA,33.33,-44.63,48.1,96,7.96,0
185,Broken Hill,AU,141.12,-30.06,38.47,75,7.4,0
186,Mataura,PF,-153.38,-40.19,55.03,100,19.04,68
187,Monki,PL,22.63,53.39,79.78,49,19.6,44
188,San Ciro De Acosta,MX,-99.91,21.38,71.77,76,4.5,8
189,Rikitea,PF,-106.23,-34.29,60.34,100,15.79,88
190,Beringovskiy,RU,177.44,54.87,44.23,100,13.44,76
191,Rikitea,PF,-120.6,-60.56,37.39,95,36.04,92
192,Bethel,US,-161.16,48.42,46.57,99,9.19,92
193,Jiblah,YE,43.57,12.93,85.0,43,6.96,0
194,Kahului,US,-149.83,34.82,65.11,100,3.15,12
195,Oranjestad,AW,-70.65,12.67,80.68,96,21.83,0
196,Neiafu,TO,-177.65,-18.04,79.24,100,0.47,36
197,Lebu,CL,-89.37,-37.54,54.4,100,6.29,48
198,Punta Arenas,CL,-95.56,-60.26,32.26,100,7.63,0
199,Hermanus,ZA,4.92,-85.41,-60.09,0,20.27,0
200,Altay,CN,89.01,48.41,36.49,98,2.37,0
201,East London,ZA,43.18,-49.54,35.95,100,17.81,76
202,Vaini,TO,-175.26,-83.67,2.38,67,36.93,0
203,Kodinar,IN,69.82,18.06,84.91,98,18.59,48
204,Rio Grande,BR,-47.28,-36.19,63.67,100,37.04,12
205,Rikitea,PF,-122.18,-48.04,50.17,89,36.04,92
206,Saleaula,WS,-167.63,0.77,80.32,100,13.44,76
207,Fort Nelson,CA,-122.38,57.22,76.27,48,4.94,44
208,Faya,TD,21.06,23.17,97.78,17,7.96,48
209,Kodiak,US,-157.88,50.21,46.48,99,14.34,92
210,Sentyabrskiy,RU,160.59,35.48,67.45,96,8.97,92
211,Baykit,RU,95.03,61.83,53.32,98,4.61,56
212,Lindi,TZ,40.44,-8.98,81.4,95,20.49,64
213,Nikolskoye,RU,175.11,34.12,65.83,100,17.58,64
214,Murayama,JP,140.61,38.5,60.43,69,6.4,8
215,Taolanaro,MG,55.95,-56.0,29.02,100,24.29,24
216,Wajid,SO,43.67,3.43,81.04,47,12.21,24
217,Yellowknife,CA,-104.95,79.08,32.17,100,9.98,92
218,New Norfolk,AU,144.98,-48.09,48.46,97,17.25,68
219,Barrow,US,-147.65,82.42,31.81,100,10.76,80
220,Chuy,UY,-38.17,-46.51,48.91,100,32.23,100
221,Busselton,AU,80.31,-64.09,15.25,95,16.13,80
222,Hithadhoo,MV,64.95,-4.77,80.68,100,9.75,36
223,Taolanaro,MG,53.88,-31.71,65.56,100,23.29,76
224,Samusu,WS,-161.24,-7.65,82.3,100,16.69,88
225,Busselton,AU,89.15,-55.1,38.2,89,22.84,92
226,Solnechnyy,RU,139.13,62.78,44.68,95,2.04,88
227,Acapulco,MX,-101.47,13.38,82.93,100,5.5,20
228,Rikitea,PF,-128.58,-46.53,50.98,89,39.06,92
229,Yellowknife,CA,-106.59,79.26,32.26,100,13.44,88
230,Aklavik,CA,-143.77,77.77,31.72,100,12.66,92
231,Asau,TV,178.66,-10.98,80.32,100,10.65,56
232,Arraial Do Cabo,BR,-19.93,-52.38,34.24,100,31.68,44
233,Nola,CF,16.88,2.61,72.13,91,2.93,24
234,Port Lincoln,AU,133.18,-42.33,51.52,100,19.71,88
235,Bodden Town,KY,-80.06,18.98,83.38,99,9.64,68
236,Illoqqortoormiut,GL,-24.74,78.09,29.38,89,7.74,0
237,Puerto Escondido,MX,-98.84,7.93,76.63,100,9.53,92
238,Ushuaia,AR,-34.23,-85.72,-36.51,54,23.4,0
239,Busselton,AU,91.28,-63.02,22.18,100,33.58,92
240,Kavieng,PG,152.78,12.17,83.38,100,9.64,88
241,Burica,PA,-84.59,4.67,78.34,100,8.86,56
242,Arraial Do Cabo,BR,-19.44,-50.26,36.31,100,37.94,88
243,Awjilah,LY,20.12,28.49,93.73,21,9.19,12
244,Saint-Georges,GF,-49.34,4.32,82.75,100,11.88,64
245,Bukoba,TZ,31.89,-1.07,67.9,100,4.38,100
246,Busselton,AU,86.3,-47.15,48.73,91,26.08,92
247,Albany,AU,102.62,-62.77,19.3,100,2.82,68
248,Sapele,NG,5.69,5.8,73.03,100,6.51,92
249,Kapaa,US,-166.84,13.94,79.78,100,11.65,68
250,Albany,AU,108.18,-50.12,39.73,97,15.68,12
251,Saint George,BM,-58.76,29.98,78.61,98,14.12,88
252,Illoqqortoormiut,GL,-32.81,86.34,31.45,100,9.98,88
253,Rikitea,PF,-113.0,-22.53,71.23,100,18.81,76
254,Ushuaia,AR,-47.31,-67.91,11.29,95,27.09,80
255,Saint-Philippe,RE,64.91,-51.16,35.32,100,26.75,44
256,Vaini,TO,-168.73,-58.67,33.07,100,37.27,36
257,Vostok,RU,152.32,47.24,45.31,87,20.83,100
258,Ancud,CL,-103.88,-38.98,55.48,100,12.66,88
259,Kahului,US,-151.85,29.47,71.14,100,6.96,92
260,Punta Arenas,CL,-74.76,-60.07,31.27,100,27.76,32
261,Ushuaia,AR,-75.52,-85.4,-22.02,55,19.48,36
262,Cayenne,GF,-45.83,11.24,78.43,100,20.71,24
263,Kapaa,US,-160.47,29.28,71.95,100,9.42,88
264,Hermanus,ZA,10.66,-49.5,40.63,94,11.65,88
265,New Norfolk,AU,127.04,-74.21,-77.28,0,14.45,0
266,Xai-Xai,MZ,34.6,-26.46,72.67,100,11.77,68
267,Punta Arenas,CL,-77.33,-59.53,32.44,100,31.23,44
268,Tasiilaq,GL,-31.3,71.31,19.93,87,8.97,12
269,Ahipara,NZ,172.85,-36.11,57.37,100,17.47,8
270,Lodja,CD,24.03,-2.09,70.51,96,1.48,80
271,Yellowknife,CA,-115.42,70.66,45.13,72,7.96,36
272,Madang,PG,145.42,-4.96,71.77,95,1.36,76
273,Bambous Virieux,MU,79.08,-29.31,67.27,97,12.44,0
274,Punta Arenas,CL,-80.0,-65.08,16.33,100,26.75,48
275,Singida,TZ,34.8,-4.85,66.46,65,9.42,48
276,Chuy,UY,-28.6,-58.12,23.53,100,7.74,0
277,Sao Felix Do Xingu,BR,-52.66,-9.15,87.43,41,4.27,8
278,Nikolskoye,RU,176.84,45.74,45.22,100,9.98,92
279,Geraldton,AU,103.5,-32.81,60.88,100,8.08,92
280,Aztec,US,-107.98,36.85,80.6,19,5.82,1
281,Hilo,US,-145.16,13.86,78.52,100,17.25,0
282,Culipapa,PH,122.0,8.95,81.67,100,5.28,64
283,Vaini,TO,-179.98,-61.58,26.77,100,22.5,12
284,Yulara,AU,125.54,-24.07,45.4,53,12.21,0
285,Attawapiskat,CA,-84.71,59.55,33.25,94,21.83,0
286,Port Elizabeth,ZA,29.74,-63.7,16.06,100,7.63,12
287,Ushuaia,AR,-58.2,-72.85,1.57,80,9.64,56
288,Ribeira Grande,PT,-32.16,43.76,66.91,97,14.79,80
289,Upernavik,GL,-52.1,77.29,20.38,100,15.23,76
290,San Andres,CO,-79.77,12.48,81.67,100,7.96,48
291,Petropavlovsk-Kamchatskiy,RU,161.86,50.51,43.51,98,16.02,92
292,Mao,TD,15.74,15.72,93.01,38,3.04,44
293,Jamestown,SH,0.55,-8.05,75.73,100,15.68,44
294,Kamenskoye,RU,164.28,63.77,33.7,82,2.48,0
295,Nanortalik,GL,-44.77,57.44,42.25,98,14.56,36
296,Rikitea,PF,-122.08,-17.81,75.37,100,19.71,76
297,Leningradskiy,RU,179.97,77.5,32.35,98,16.13,88
298,Hilo,US,-149.61,17.96,76.0,100,14.79,68
299,Hilo,US,-150.97,3.18,78.07,100,8.97,68
300,Hasaki,JP,150.17,32.15,75.1,93,24.4,68
301,Bayji,IQ,42.88,35.37,88.06,27,9.64,0
302,Acari,PE,-77.32,-21.3,63.58,100,18.25,0
303,Guerrero Negro,MX,-115.79,24.43,67.63,100,11.88,24
304,Rikitea,PF,-132.28,-28.04,68.89,100,8.19,8
305,Ballina,AU,157.78,-30.42,65.02,100,17.02,8
306,New Norfolk,AU,124.56,-82.81,-43.89,74,14.12,12
307,Umm Kaddadah,SD,27.32,13.51,77.98,82,3.6,44
308,Port Alfred,ZA,38.36,-60.28,28.66,100,16.13,56
309,Hobart,AU,152.47,-70.01,-25.71,64,30.67,0
310,Ushuaia,AR,-64.46,-68.27,7.78,82,27.76,80
311,Rikitea,PF,-117.85,-68.75,31.18,92,18.81,80
312,Ushuaia,AR,-77.17,-82.96,-14.28,58,25.75,0
313,Vaini,TO,-170.48,-84.3,7.24,80,24.74,0
314,Ulaangom,MN,93.59,46.61,53.32,89,3.83,92
315,Pevek,RU,168.75,74.62,31.36,100,9.08,0
316,Strezhevoy,RU,78.29,59.31,66.73,59,11.88,76
317,Avarua,CK,-160.13,-32.54,67.36,95,32.57,76
318,Vaini,TO,-170.61,-37.27,56.83,100,43.2,92
319,Ancud,CL,-82.78,-39.47,53.86,100,22.06,92
320,Butaritari,KI,168.19,7.36,81.22,100,13.44,68
321,Ushuaia,AR,-66.95,-69.66,-3.21,68,1.81,68
322,Samusu,WS,-170.04,-12.06,82.66,100,13.89,100
323,Punta Arenas,CL,-110.36,-65.68,32.35,92,25.3,88
324,Sentyabrskiy,RU,155.0,36.93,70.51,92,26.53,92
325,Mar Del Plata,AR,-25.46,-68.88,15.7,94,9.64,80
326,Rakaia,NZ,172.1,-43.85,26.6,92,2.24,0
327,Partenit,UA,34.82,44.08,77.26,93,3.94,32
328,Iqaluit,CA,-65.06,61.27,32.0,100,8.97,64
329,Mataura,PF,-152.78,-74.79,17.41,86,34.92,24
330,Ilulissat,GL,-49.43,75.44,24.79,99,19.37,88
331,Busselton,AU,80.84,-55.73,33.07,99,8.52,80
332,Rikitea,PF,-131.9,-42.15,53.23,100,35.81,56
333,Qaanaaq,GL,-65.75,88.07,31.9,100,13.33,88
334,Vaini,TO,-177.67,-63.5,22.9,100,39.17,20
335,Mataura,PF,-157.04,-79.58,-29.85,48,3.6,8
336,Bambamarca,PE,-78.56,-6.7,68.0,24,4.7,0
337,Mataura,PF,-156.31,-67.39,-5.91,96,2.04,24
338,Saint George,BM,-53.89,32.89,77.8,95,17.92,8
339,Ribeira Grande,PT,-43.58,34.05,74.83,100,16.24,48
340,Vostok,RU,149.16,48.06,45.22,94,8.97,100
341,Bathsheba,BB,-50.79,16.97,78.07,100,15.12,12
342,Ushuaia,AR,-83.11,-83.33,-18.24,44,28.21,0
343,Toliary,MG,41.51,-22.22,75.1,100,24.07,0
344,Belushya Guba,RU,48.85,85.18,31.0,100,11.65,80
345,Itarema,BR,-37.41,8.61,77.98,100,10.42,92
346,Qaanaaq,GL,-75.7,75.54,31.18,100,3.94,48
347,Lagoa,PT,-30.06,43.99,63.85,100,8.63,0
348,Homestead,US,-81.26,25.49,87.97,77,10.42,24
349,Najran,SA,48.34,17.85,86.26,21,9.08,0
350,Avarua,CK,-163.18,-18.07,80.05,100,9.64,36
351,Hanstholm,DK,8.46,57.38,55.75,97,30.33,0
352,Hermanus,ZA,4.06,-65.91,28.03,99,18.59,88
353,Ribeira Grande,PT,-39.17,30.39,74.65,100,4.5,20
354,Barrow,US,-166.4,88.43,31.63,100,17.47,80
355,Chokurdakh,RU,151.58,77.0,31.9,100,9.31,68
356,Bredasdorp,ZA,19.63,-35.23,62.32,98,33.8,0
357,Ushuaia,AR,-53.65,-61.24,26.95,100,17.02,88
358,Mattawa,CA,-78.63,46.5,57.2,44,4.7,20
359,Amderma,RU,65.55,82.72,32.26,98,7.52,92
360,Puerto Ayora,EC,-104.15,-1.4,75.73,100,15.68,44
361,Souillac,MU,74.8,-56.19,33.97,95,14.45,64
362,Mataura,PF,-142.62,-49.22,46.48,100,18.59,0
363,New Norfolk,AU,125.09,-89.24,-47.31,0,3.94,36
364,Kallidaikurichchi,IN,77.51,8.52,77.0,94,3.36,75
365,Nikolskoye,RU,169.55,37.1,65.2,100,24.29,44
366,Dajabon,DO,-71.54,19.49,74.83,95,3.15,20
367,Vizinga,RU,49.7,60.83,55.75,97,11.77,92
368,Berlevag,NO,31.21,80.25,30.28,100,1.36,76
369,Dikson,RU,72.27,87.75,31.72,100,16.69,88
370,Bredasdorp,ZA,23.19,-57.62,30.46,100,18.92,56
371,Touros,BR,-34.06,0.94,80.77,100,10.54,92
372,Port-Cartier,CA,-69.53,52.9,45.67,97,13.44,36
373,Novovoronezh,RU,39.24,51.36,78.8,31,6.71,0
374,Bengkulu,ID,93.84,-16.18,77.62,99,24.96,92
375,Port Elizabeth,ZA,31.24,-74.1,-48.39,0,17.81,20
376,Diego De Almagro,CL,-70.32,-26.51,68.26,81,2.37,0
377,Saint-Philippe,RE,62.89,-49.64,35.95,100,23.96,32
378,Labuhan,ID,100.48,-10.17,83.74,98,23.29,0
379,Kapaa,US,-178.99,22.04,79.42,100,9.86,68
380,Jamestown,SH,-8.9,-24.55,68.17,100,2.15,0
381,Hobart,AU,133.94,-85.12,-43.35,72,13.44,12
382,Gisborne,NZ,179.48,-41.12,52.42,100,13.89,80
383,East London,ZA,48.09,-62.17,25.15,100,20.83,36
384,Taolanaro,MG,70.81,-80.91,-78.81,0,7.63,8
385,Santa Maria,CV,-22.62,17.05,78.8,65,18.34,20
386,Rikitea,PF,-120.78,-25.04,71.95,100,13.78,48
387,Matara,LK,81.24,3.49,78.97,100,11.77,44
388,Port Lincoln,AU,129.15,-42.86,51.43,99,20.71,92
389,Homer,US,-148.99,57.56,49.18,100,8.19,76
390,Ust-Kuyga,RU,136.09,68.44,57.82,73,1.92,0
391,Atuona,PF,-129.76,-2.03,79.78,100,14.67,80
392,Punta Arenas,CL,-73.55,-59.82,31.36,100,29.33,64
393,Palabuhanratu,ID,102.87,-16.31,78.43,98,22.62,56
394,Cayenne,GF,-44.9,11.81,77.62,100,19.48,64
395,Arraial Do Cabo,BR,-20.26,-40.6,53.95,100,51.14,56
396,Riyadh,SA,46.54,23.88,87.52,12,7.52,0
397,Moranbah,AU,148.53,-21.7,58.36,99,5.61,92
398,Madingou,CG,13.5,-4.09,73.39,89,2.04,0
399,Bluff,NZ,161.86,-59.37,35.5,100,20.83,80
400,Kieta,PG,158.24,-2.91,83.92,100,7.52,48
401,Sataua,WS,-173.68,-6.98,82.12,100,13.56,20
402,Upernavik,GL,-51.07,81.51,32.17,96,2.37,0
403,New Norfolk,AU,138.12,-58.9,33.43,100,5.5,80
404,Guerrero Negro,MX,-127.62,14.89,76.27,100,14.23,56
405,Busselton,AU,103.39,-40.39,54.04,92,19.37,88
406,Taolanaro,MG,53.74,-50.65,35.23,100,19.71,64
407,Nelson Bay,AU,160.27,-36.86,59.8,100,9.53,0
408,Morondava,MG,42.55,-17.81,77.98,100,20.38,0
409,Saint-Philippe,RE,73.17,-72.81,-16.26,39,23.85,0
410,San Cristobal,EC,-88.24,-3.48,71.5,100,10.98,24
411,Grand Gaube,MU,61.36,-17.47,77.44,100,14.12,0
412,Vaini,TO,-175.68,-73.74,7.87,96,25.52,64
413,Punta Arenas,CL,-97.82,-80.92,-43.44,0,2.93,0
414,Busselton,AU,89.76,-76.39,-54.06,0,13.67,20
415,Rikitea,PF,-114.55,-11.78,75.1,100,22.06,56
416,Bluff,NZ,154.28,-74.72,-51.45,0,25.52,0
417,Bethel,US,-165.59,49.02,44.5,100,10.09,92
418,Hobart,AU,137.47,-73.74,-66.75,0,20.83,0
419,Bredasdorp,ZA,22.19,-53.14,33.7,96,25.75,92
420,Cape Town,ZA,-15.93,-78.08,-15.81,74,18.03,36
421,Hermanus,ZA,0.26,-80.86,-52.17,0,15.46,8
422,Necochea,AR,-56.76,-41.83,46.66,100,36.48,48
